activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
02-A001,02-C001,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
02-A002,02-C001,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
02-A003,02-C002,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
02-A004,02-C002,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
02-A005,02-C003,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
02-A006,02-C003,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
02-A007,02-C004,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
02-A008,02-C004,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
02-A009,02-C005,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
02-A010,02-C005,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
02-A011,02-C006,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
02-A012,02-C006,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
02-A013,02-C007,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
02-A014,02-C007,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
02-A015,02-C008,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,2,2027-01-04,,2
02-A016,02-C008,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,2,2027-01-04,,2
