activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
03-A001,03-C001,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,1
03-A002,03-C001,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-18,03-A001,2
03-A003,03-C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,1
03-A004,03-C002,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-18,03-A003,2
03-A005,03-C003,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,2,2027-01-04,,2
03-A006,03-C003,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,2,2027-01-18,,2
03-A007,03-C004,Renewal,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,2,2027-01-04,,2
03-A008,03-C004,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,2,2027-01-18,,2
03-A009,03-C005,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,2,2027-01-04,,2
03-A010,03-C005,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,2,2027-01-18,,2
03-A011,03-C006,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,2
03-A012,03-C006,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-01-18,,2
