activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
04-A015,04-C005,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-01-18,04-A014,2
04-A014,04-C004,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-01-18,04-A013,1
04-A013,04-C003,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-01-18,04-A012,3
04-A012,04-C002,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-01-18,04-A011,2
04-A011,04-C001,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,2,2027-01-18,,1
04-A010,04-C005,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-11,04-A009,2
04-A009,04-C004,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-11,04-A008,1
04-A008,04-C003,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-11,04-A007,3
04-A007,04-C002,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-11,04-A006,2
04-A006,04-C001,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-11,,1
04-A005,04-C005,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-04,04-A004,2
04-A004,04-C004,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-04,04-A003,1
04-A003,04-C003,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-04,04-A002,3
04-A002,04-C002,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-04,04-A001,2
04-A001,04-C001,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,2,2027-01-04,,1
