activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
07-A001,07-C001,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S05_S06:EB,3,2027-01-04,,2
07-A002,07-C001,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:H02_S05:EB,2,2027-01-25,,2
07-A003,07-C002,Construction,SEC:BET:S12_S13:EB,SEC:BET:S15_S16:EB,3,2027-01-04,,2
07-A004,07-C002,Construction,SEC:BET:S17_S18:EB,SEC:BET:H02_S15:EB,2,2027-01-25,,2
07-A005,07-C003,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S05_S06:EB,3,2027-01-04,,2
07-A006,07-C003,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:H02_S05:EB,2,2027-01-25,,2
07-A007,07-C004,Construction,SEC:BET:S12_S13:WB,SEC:BET:S15_S16:WB,3,2027-01-04,,2
07-A008,07-C004,Construction,SEC:BET:S17_S18:WB,SEC:BET:H02_S15:WB,2,2027-01-25,,2
07-A009,07-C005,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S05_S06:WB,3,2027-01-04,,2
07-A010,07-C005,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:H02_S05:WB,2,2027-01-25,,2
07-A011,07-C006,Construction,SEC:BET:S12_S13:WB,SEC:BET:S15_S16:WB,3,2027-01-04,,2
07-A012,07-C006,Construction,SEC:BET:S17_S18:WB,SEC:BET:H02_S15:WB,2,2027-01-25,,2
