activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
08-A001,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A002,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A003,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A004,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A005,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A006,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A007,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A008,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A009,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A010,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A011,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A012,08-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,2
08-A013,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A014,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A015,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A016,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A017,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A018,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A019,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A020,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A021,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A022,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A023,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A024,08-C002,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,1,2027-01-04,,2
08-A025,08-C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-04,,2
08-A026,08-C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-04,,2
08-A027,08-C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-04,,2
08-A028,08-C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-04,,2
08-A029,08-C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-04,,2
08-A030,08-C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-04,,2
08-A031,08-C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-04,,2
08-A032,08-C003,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-04,,2
08-A033,08-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-01-04,,2
08-A034,08-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-01-04,,2
08-A035,08-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-01-04,,2
08-A036,08-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-01-04,,2
08-A037,08-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-01-04,,2
08-A038,08-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-01-04,,2
08-A039,08-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-01-04,,2
08-A040,08-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,1,2027-01-04,,2
