activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
10-A001,10-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-07-19,,2
10-A002,10-C001,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-07-26,10-A001,2
10-A003,10-C002,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2027-07-19,,2
10-A004,10-C002,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2027-07-26,10-A003,2
10-A005,10-C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-07-19,,2
10-A006,10-C003,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,1,2027-07-26,10-A005,2
10-A007,10-C004,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,1,2027-07-19,,2
10-A008,10-C004,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,1,2027-07-26,10-A007,2
10-A009,10-C005,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,3,2027-07-05,,2
10-A010,10-C005,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-07-26,,2
10-A011,10-C006,Construction,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,3,2027-07-05,,2
10-A012,10-C006,Construction,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,1,2027-07-26,,2
10-A013,10-C007,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-07-05,,2
10-A014,10-C007,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,1,2027-07-26,,2
10-A015,10-C008,Construction,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,3,2027-07-05,,2
10-A016,10-C008,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,1,2027-07-26,,2
