activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
12-A001,12-C001,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,1,2027-01-04,,1
12-A002,12-C001,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,2,2027-01-18,,2
12-A003,12-C001,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,3,2027-02-01,,3
12-A004,12-C001,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,1,2027-02-15,,1
12-A005,12-C001,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,2,2027-01-04,12-A001,2
12-A006,12-C001,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,3,2027-01-18,12-A002,3
12-A007,12-C002,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,2,2027-01-11,,2
12-A008,12-C002,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,3,2027-01-25,,3
12-A009,12-C002,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,1,2027-02-08,,1
12-A010,12-C002,Construction,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,2,2027-02-22,,2
12-A011,12-C002,Construction,SEC:BET:H02_S15:EB,SEC:BET:H02_S15:EB,3,2027-01-11,12-A007,3
12-A012,12-C002,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-25,12-A008,1
12-A013,12-C003,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,3,2027-01-18,,3
12-A014,12-C003,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,1,2027-02-01,,1
12-A015,12-C003,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,2,2027-02-15,,2
12-A016,12-C003,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,3,2027-01-04,,3
12-A017,12-C003,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,1,2027-01-18,12-A013,1
12-A018,12-C003,Construction,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-02-01,12-A014,2
12-A019,12-C004,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2027-01-25,,1
12-A020,12-C004,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,2,2027-02-08,,2
12-A021,12-C004,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,3,2027-02-22,,3
12-A022,12-C004,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S06_S07:EB,1,2027-01-11,,1
12-A023,12-C004,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,2,2027-01-25,12-A019,2
12-A024,12-C004,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,3,2027-02-08,12-A020,3
12-A025,12-C005,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,2,2027-02-01,,2
12-A026,12-C005,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,3,2027-02-15,,3
12-A027,12-C005,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,1,2027-01-04,,1
12-A028,12-C005,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,2,2027-01-18,,2
12-A029,12-C005,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-02-01,12-A025,3
12-A030,12-C005,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,1,2027-02-15,12-A026,1
12-A031,12-C006,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-02-08,,3
12-A032,12-C006,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-02-22,,1
12-A033,12-C006,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,2,2027-01-11,,2
12-A034,12-C006,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,3,2027-01-25,,3
12-A035,12-C006,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-02-08,12-A031,1
12-A036,12-C006,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,2,2027-02-22,12-A032,2
12-A037,12-C007,Construction,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-02-15,,1
12-A038,12-C007,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,2,2027-01-04,,2
12-A039,12-C007,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,3,2027-01-18,,3
12-A040,12-C007,Construction,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,1,2027-02-01,,1
12-A041,12-C007,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,2,2027-02-15,12-A037,2
